"url","published_date","author","title","text"
"https://www.huffpost.com/entry/government-spending-rebound_n_6404650","2015-01-01T22:14:52Z","Kelly Chen","After Years Of Cuts, Government Spending Is Starting To Rebound | HuffPost Latest News","NAPLES, Fla. — For a long stretch, government spending cutbacks at all levels were a substantial drag on economic growth. Now, finally, relief is in sight. For the first time since 2011, local, state and federal governments are providing a small but significant increase to prosperity. “There’s not a lot of positive contribution coming from the government sector, but when you’re talking about economic growth, less of a negative is a positive,” said Chris Varvares, senior managing director and co-founder of Macroeconomic Advisers. Read more on New York Times"
"https://www.huffpost.com/entry/taylor-swift-gifts_n_6404580","2015-01-01T22:08:42Z","Bill Bradley","Taylor Swift Brings Fans To Tears With Surprise Gifts | HuffPost Entertainment","Merry Swiftmas! A new album wasn't the only gift Taylor Swift gave her fans in 2014. The singer's latest YouTube video recaps how she surprised her Swifties by creeping on their social media profiles and using that info to get them gifts for the holidays. Swift's surprises, which included personally delivering some of the gifts, left her fans in disbelief and brought many to tears. Get your tissues ready ..."
"https://www.huffpost.com/entry/arab-world-movies_n_6396484","2015-01-01T21:19:31Z",NA,"10 Must-See Movies From The Arab World You Should Watch In 2015 | HuffPost Entertainment","There is nothing better than a good movie to start the New Year. Following the success of the Carthage Festival, the Festival of Algiers and the Marrakech Festival, emerging film festivals in Maghreb and the Middle East have seen great success in the past few years. More local cinema productions have appeared in the Arab world’s film industry, which has resulted in significant media and public interest in movies from the region throughout the world. In spite of the revolutions, the sometimes slow democratic transitions, and the persistent dictatorships in Arab countries, 2014 was a year rich in movies. Below, Huffpost Tunisia invites you to go through a small selection of must-see Arab movies released in 2014 that should be part of your screening queue in 2015. This post originally appeared on HuffPost Tunisia and was translated into English."
"https://www.huffpost.com/entry/young-photographers-photo_n_6391900","2015-01-01T21:16:41Z",NA,"31 Photographs That Will Show You The Future of Photography | HuffPost Entertainment","How does a photographer get ahead in a world of images? More specifically, how do young photographers “make it” amid all the chaos? One way is through Foam, an important center of photography in Amsterdam that has been giving out annual awards for young talent over the past seven years. This year, from a pool of 1,473 candidates across 71 countries, 21 artists have been selected. For the winners, it’s an invaluable opportunity for professional growth. Their work is touring the world: first Amsterdam, then Paris; now, at the East Wing Gallery in Dubai, until January 10th. Foam’s goal is not only to make these promising artists known to the world but also to reflect on how photography in general is changing. As we look at the winners’ work, it becomes evident that the relationship between photography and contemporary art is getting stronger and stronger. Some examples? Take the Japanese duo Nerhol, who create portraits of people by using overlapping sheets. While they seem to be digital images, they’re actually deeply unique 3D creations. Or the Canadian Émilie Régnier, who went to Africa to tell the story of the lives of young Africans who are reckoning with their future. Then there are David Lynch’s disturbing scenes, which have inspired Johnny Briggs. The latter has created some panoramas or characters with semi-human aspects quite troubling to the viewer. Yoshinori Mizutani's spectacularly direct, intimate photography reveals tiny parrots scattered throughout the sky of Tokyo. And no one's ever had closer contact with the most affluent social classes of Beijing than Charles-Henry Bédué, who dives into the realm of clothes, shoes, purses, cell phones and food, all of which are becoming symbols of power in the country. Behold, 31 photographs that will show you the future of photography. This post originally appeared on The Huffington Post Italy and was translated into English."
"https://www.huffpost.com/entry/baldwin-pregnancy_n_60fab47be4b0943111fbbd48",NA,NA,NA,NA
"https://www.huffpost.com/entry/new-years-eve-fire_n_6404034",NA,NA,NA,NA
"https://www.huffpost.com/entry/2015-back-to-the-future_n_6404178",NA,NA,NA,NA
"https://www.huffpost.com/entry/berlin-new-years-2015_n_6403932",NA,NA,NA,NA
"https://www.huffpost.com/entry/race-relations-optimism_n_6404086",NA,NA,NA,NA
"https://www.huffpost.com/entry/lauren-graham-edward-herrmann_n_6403938",NA,NA,NA,NA
